URN,QCSI,QDataInput,QSamPrep,Qextraction,Qvalidation
261,838.97987,87.31397,4075.10591,2574.04136,23.73601
262,712.88287,49.8891,4100.03452,2563.34967,25.18681
263,697.71045,41.23226,4110.72621,2553.33683,27.16991
264,575.69505,24.47167,4120.73905,2541.13764,28.50975
265,607.07418,406.69749,841.25765,1478.7076,30.11559
266,565.77335,393.63736,862.55005,1464.84764,31.74375
267,553.53659,390.45024,876.41001,1446.17267,33.59752
268,4426.35198,347.36523,895.08498,1416.18779,34.66221
269,4434.43485,335.96063,925.06986,1401.73609,36.01058
270,4309.56776,322.02077,939.52156,1381.64798,37.2463
271,4350.92234,281.46048,959.60967,1353.28723,39.13118
272,4359.51069,271.88406,987.97042,1340.21499,40.91058
273,4373.07885,260.41465,1001.04266,1327.36606,42.59239
274,4348.82024,220.09532,1013.89159,1312.14988,44.114
275,4297.20061,213.08886,1029.10777,1290.74001,45.61825
276,4255.30759,191.06776,1050.51764,1276.88198,46.92767
277,4283.97287,155.94995,1064.37567,1259.92293,48.84245
278,4267.46124,147.83399,1081.33472,1230.84791,50.52825
279,4171.27987,125.67857,1110.40974,1211.59093,52.27501
280,4171.77796,86.60262,1129.66672,1195.67419,54.02869
281,4158.21926,83.78972,1145.58346,1174.01279,55.94349
282,4180.028,68.7767,1167.24486,1157.9173,57.62341
283,4205.75276,19.02135,1212.56764,1101.96111,60.66719
284,4029.52748,23.9314,1183.34035,1128.69001,58.81396
285,4026.49953,2.50188,1239.29654,1088.33007,62.05593
286,3699.06907,376.5939,854.16162,22.16426,65.69635
287,3633.72211,383.75918,843.14637,48.98475,63.85292
288,3441.06595,353.03885,880.98211,3234.31353,1080
289,4283.5289,330.7752,908.83284,3218.37637,1081.91825
290,3894.22447,307.67503,924.77,3197.75574,1082.95386
291,3916.11525,294.81464,945.39063,3179.58519,1084.85525
292,3921.55011,264.50635,963.56118,3153.62246,1086.1258
293,3905.58332,246.73279,989.52391,3136.58647,1087.92251
294,3811.43961,232.7909,1006.5599,3119.12513,1089.39552
295,3834.36175,212.3787,1024.02124,3106.75647,1090.9465
296,3844.14792,175.35014,1049.62457,3067.17606,1093.92971
297,3778.93097,177.06557,1036.3899,3093.5218,1091.96461
298,3677.19463,154.67144,1075.97031,3040.70093,1095.06083
299,3681.3102,125.57282,1102.44544,3022.36394,1096.29844
300,3640.17724,112.70175,1120.78243,3011.91944,1097.30735
301,3441.78255,100.47917,1131.22693,2988.32834,1098.90052
302,3466.3382,71.34608,1154.81803,2967.8681,1099.97082
303,3349.58562,50.16699,1175.27827,2941.92728,1101.04228
304,3302.76037,45.40387,1201.21909,2930.63863,1102.62793
305,3286.11369,7.04147,1212.50774,2916.53389,1103.73096
306,3281.2522,411.60802,840.64608,1834.66702,1105.42592
307,3150.74932,399.20876,865.97906,1818.6407,1106.71894
308,3067.92629,362.95949,882.00538,1807.31951,1108.51221
309,4081.79275,350.2269,893.32657,1780.04613,1110.19433
310,4062.16543,327.56064,920.59995,1758.9382,1111.69974
311,4035.90204,300.93118,941.70788,1729.86651,1113.66977
312,3973.49791,287.74474,970.77957,1699.90697,1115.22107
313,3731.85668,261.63467,1000.73911,1679.59115,1116.80321
314,3610.47158,241.60659,1021.05493,1650.0528,1118.58364
315,3616.81945,232.92946,1050.59328,1622.91374,1119.93144
316,3640.01587,196.29572,1077.73234,1603.91982,1121.02418
